Fecha,Presentacion,Origen,Destino,Transporte,Volumen ton
2001-05-17,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,4.0
2001-05-17,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,11.0
2001-05-22,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1500.0
2001-05-24,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,4.0
2001-05-24,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,10.0
2001-05-29,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1575.0
2001-05-31,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2001-05-31,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,8.0
2001-06-05,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1545.0
2001-06-07,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,4.0
2001-06-07,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,11.0
2001-06-12,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1425.0
2001-06-14,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2001-06-14,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,15.0
2001-06-19,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1455.0
2001-06-21,Caja de 20 kg.,Yucatán,Yucatán: Central de Abasto de Mérida,Torton,12.0
2001-06-21,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2001-06-21,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,12.0
2001-06-21,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,18.0
2001-06-26,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1350.0
2001-06-28,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2001-07-03,Caja de 20 kg.,Yucatán,Yucatán: Central de Abasto de Mérida,Torton,10.0
2001-07-03,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1320.0
2001-07-03,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,17.0
2001-07-05,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
