producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-04-30,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIXCOAC (250),"MIGUEL ANGEL BUONARROTI 170, ESQ. SAN ANTONIO",MIXCOAC,3910,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-30,BODEGA AURRERA,BODEGA AURRERA SUCURSAL CANTIL,"AZTECAS 221, ENTRE EJE 10 Y REY MOCTEZUMA",LOS REYES,4330,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-30,WAL-MART,WALMART SUCURSAL COPILCO,"COPILCO 164, ESQ. UNIVERSIDAD",OXTOPULCO,4318,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-04-30,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL ASTURIAS,"CALZ. CHABACANO 43, ESQ. JOSE ANTONIO TORRES",ASTURIAS,6850,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,52.0,2026-04-30,BODEGA AURRERA,BODEGA AURRERA SUCURSAL FERROCARRIL HIDALGO,"VENTURINA 354, ENTRE TESORO Y VICTORIA",ESTRELLA,7810,Gustavo A. Madero,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-30,WAL-MART,WALMART SUCURSAL TEPEYAC,"CALZ. DE GUADALUPE 431, ENTRE HENRY FORD Y VICTORIA",GUADALUPE TEPEYAC,7840,Gustavo A. Madero,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-04-30,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL LINDAVISTA,"MONTEVIDEO 360, ESQ. INSTITUTO POLITECNICO NACIONAL",LINDAVISTA SUR,7300,Gustavo A. Madero,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,40.0,2026-04-30,MERCADO PUBLICO,MERCADO SAN BARTOLO ATEPEHUACAN,"MONTEVIDEO 500, ESQ. LA LOMA",SAN BARTOLO,7300,Gustavo A. Madero,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-04-30,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL LA VILLA (255),"CALZ. DE GUADALUPE 192, ESQ. MISTERIOS",VALLEJO,7870,Gustavo A. Madero,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,52.0,2026-04-30,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LA VIGA,CALZ. DE LA VIGA 136 ESQ. DEL TALLER,LORENZO BOTURINI,15820,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,69.9,2026-04-30,LA COMER,LACOMER SUCURSAL MIGUEL ANGEL DE QUEVEDO,"MIGUEL ANGEL DE QUEVEDO 443, ENTRE MELCHOR OCAMPO Y PSI",ROMERO DE TERREROS,4310,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,45.0,2026-04-30,MERCADO PUBLICO,MERCADO ROMERO RUBIO,"CAIRO S/N, ESQ. PERSIA",ROMERO RUBIO,15400,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-06,MEGA SORIANA,MEGA SORIANA SUCURSAL COAPA,"PROLONGACION DIVISION DEL NORTE1555, ENTRE ESCUELA Y EJ",CHIMAL,14700,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-06,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL LA VIGA (251),CALZ. DE LA VIGA 1801,UNIDAD MODELO,9080,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-06,WAL-MART,WAL MART SUCURSAL MIRAMONTES,"ESCUELA NAVAL MILITAR 753, ESQ. CANAL DE MIRAMONTES",LOS CIPRESES,4830,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-06,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL TAXQUEÑA,"CALZ. TAXQUEÑA 1752, ENTRE PASEO DE LOS JARDINES Y HERO",TAXQUEÑA,4280,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.9,2026-05-06,CHEDRAUI,CHEDRAUI SUCURSAL PLAZA AMERICA,"BENITO JUAREZ 117, ENTRE DIVISION DEL NORTE Y EUCALIPTO",EXHACIENDA DE COAPA,4850,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-06,HIPERMERCADO SORIANA,SORIANA SUCURSAL MIRAMONTES (300),"CANAL DE MIRAMONTES 2600, ENTRE CALZ. DE LA VIRGEN Y ES",EXHACIENDA COAPA,4830,Coyoacán,Ciudad de México
