producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-14,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL MIXCOAC,"REVOLUCION 780, ENTRE RUBENS Y HOLBEIN",MIXCOAC,3730,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.0,2026-05-14,HIPERMERCADO SORIANA,SORIANA SUCURSAL CANTIL (419),"AZTECAS 270, ESQ. REY MOCTEZUMA",LOS REYES,4330,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-18,SORIANA SUPER,SORIANA SUPER SUCURSAL EUGENIA (279),"EUGENIA 901, ESQ. GABRIEL MANCERA",DEL VALLE,3100,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-18,BODEGA AURRERA,BODEGA AURRERA SUCURSAL TACUBAYA,"PARQUE LIRA 145, ESQ. JALISCO",TACUBAYA,11870,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-18,WAL-MART,WALMART SUCURSAL UNIVERSIDAD,"UNIVERSIDAD 936, ESQ. PARROQUIA",SANTA CRUZ ATOYAC,3310,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-18,WAL-MART,WALMART SUCURSAL TLALPAN,CALZ. DE TLALPAN 1037,NATIVITAS,3500,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-18,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL DEL VALLE,"HERIBERTO FRIAS 1107, ESQ. ÁNGEL URRAZA",DEL VALLE,3100,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-18,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL VIRREYES,"AGUILAR Y SEIJAS 123, ESQ. ACUEDUCTO RIO HONDO",MOLINO DEL REY,11040,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-18,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL RIO CHURUBUSCO,"AJUSCO 126, ENTRE LAZARO CARDENAS Y RIO CHURUBUSCO",PORTALES,3300,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-19,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,"AV. RIO CHURUBUSCO 583, ESQ. LA VIGA",SECTOR POPULAR,9060,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-19,WAL-MART,WALMART SUCURSAL LOMAS,BLVD. MANUEL AVILA CAMACHO 491,PERIODISTAS,11220,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-19,BODEGA AURRERA,BODEGA AURRERA SUCURSAL MARIANO ESCOBEDO,"LAGO COMO 160, ESQ. MARIANO ESCOBEDO",ANAHUAC,11320,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-19,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIYANA (252),"EJERCITO NACIONAL 769, ESQ. MOLIERE",POLANCO,11529,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-19,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL HOMERO,"HOMERO NO. 310, SCHILLER Y PETRARCA",CHAPULTEPEC MORALES,11560,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,46.9,2026-05-19,BODEGA AURRERA,BODEGA AURRERA SUCURSAL XOCHIMILCO,"PROL. DIV. DEL NORTE 5333, CASI ESQ. GUADALUPE I",POTRERO  SAN BERNARDINO,16030,Xochimilco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-19,SORIANA SUPER,SORIANA SUPER SUCURSAL TORIELLO (284),CALZADA DE TLALPAN 4515,TORIELLO GUERRA,14050,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-19,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL PERIFERICO,"CALZ. DE TLALPAN NO. 4467, ENTRE PERIFERICO SUR Y HUIPU",TORIELLO GUERRA,14050,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-19,MEGA SORIANA,MEGA SORIANA SUCURSAL TACUBA,"CALZ. MEXICO-TACUBA  911, ENTRE LAGO ESCLAVOS Y CDA. LA",HUICHAPAN,11410,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-20,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL TACUBAYA (257),"GOBERNADOR GENERAL JOSE MORAN 3, ENTRE GOBERNADOR VICEN",SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-20,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIXCOAC (250),"MIGUEL ANGEL BUONARROTI 170, ESQ. SAN ANTONIO",MIXCOAC,3910,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-20,WAL-MART,WAL MART SUCURSAL MIRAMONTES,"ESCUELA NAVAL MILITAR 753, ESQ. CANAL DE MIRAMONTES",LOS CIPRESES,4830,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-20,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL GIRASOLES,"RANCHO SAN LORENZO 6, ESQ. CALZADA DE LAS BOMBAS (INT.",GIRASOLES III,4920,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.9,2026-05-20,CHEDRAUI,CHEDRAUI SUCURSAL PLAZA AMERICA,"BENITO JUAREZ 117, ENTRE DIVISION DEL NORTE Y EUCALIPTO",EXHACIENDA DE COAPA,4850,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-20,BODEGA AURRERA,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,"RIO CHURUBUSCO 1120, ESQ. APATLACO",IZTACALCO INFONAVIT,8900,Iztacalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-20,HIPERMERCADO SORIANA,SORIANA SUCURSAL MIRAMONTES (300),"CANAL DE MIRAMONTES 2600, ENTRE CALZ. DE LA VIRGEN Y ES",EXHACIENDA COAPA,4830,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-20,MEGA SORIANA,MEGA SORIANA SUCURSAL COAPA,"PROLONGACION DIVISION DEL NORTE1555, ENTRE ESCUELA Y EJ",CHIMAL,14700,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-20,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL IZTAPALAPA (262),"ERMITA IZTAPALAPA 1863, ESQ. SAN LORENZO",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-20,MEGA SORIANA,MEGA SORIANA SUCURSAL LA VIGA,"CALZ. DE LA VIGA 1381, ENTRE EJE 6 Y PORTO ALEGRE",EL RETOÑO,9440,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-20,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL COAPA (TEC),"CALLE PUENTE 186, ESQ. PROLONGACIÓN",AMSA,14380,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-20,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,"AV. RIO CHURUBUSCO 583, ESQ. LA VIGA",SECTOR POPULAR,9060,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-20,WAL-MART,WALMART SUCURSAL PLAZA ORIENTE,"CANAL DE TEZONTLE 1520, ESQ EJE 5 OTE. ROJO GOMEZ",U.H. CUCHILLA DEL MORAL II,9319,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,50.0,2026-05-20,CENTRAL DE ABASTOS,CENTRAL DE ABASTO IZTAPALAPA (IZTAPALAPA),"PROL. EJE 6 SUR 520, ESQ. CANAL DE APATLACO",EJIDOS DEL MORAL,9030,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-20,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LOS ANGELES,"CALZ. ERMITA IZTAPALAPA 2001, ESQ. MARGARITAS",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-20,BODEGA AURRERA,BODEGA AURRERA SUCURSAL IZTAPALAPA,"CALZ. ERMITA IZTAPALAPA 875, ENTRE TLAHUAC Y DIAGONA",SANTA ISABEL INDUSTRIAL,9820,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-05-20,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL LA VIGA (251),CALZ. DE LA VIGA 1801,UNIDAD MODELO,9080,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.9,2026-05-21,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL CONSULADO (418),"RIO CONSULADO 2355, ESQ. CARLOS MARX",SIMON BOLIVAR,15410,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,54.9,2026-05-21,CHEDRAUI,CHEDRAUI SUCURSAL ANFORA,"ANFORA 71, ESQ. EJE 1 NORTE",MADERO,15320,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-21,WAL-MART,WALMART SUCURSAL AEROPUERTO,"CALZ. IGNACIO ZARAGOZA 58, ESQ. BLVD. PUERTO AEREO",FEDERAL,15700,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,46.0,2026-05-21,WAL-MART,WALMART SUCURSAL BALBUENA,"FRAY SERVANDO TERESA DE MIER 881, ENTRE FERNANDO IGLESI",JARDIN BALBUENA,15900,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-21,WAL-MART,WALMART SUCURSAL CUITLAHUAC,"CUITLAHUAC 3651, ENTRE TORONJIL Y FERROCARRIL C.",HOGAR Y SEGURIDAD,2820,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,64.32,2026-05-21,U.N.A.M.,U.N.A.M. SUCURSAL 02 CD UNIVERSITARIA,DALIAS S/N CERCA METRO UNIVERSIDAD,COPILCO EL ALTO,4360,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,69.9,2026-05-21,LA COMER,LACOMER SUCURSAL MIGUEL ANGEL DE QUEVEDO,"MIGUEL ANGEL DE QUEVEDO 443, ENTRE MELCHOR OCAMPO Y PSI",ROMERO DE TERREROS,4310,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-21,BODEGA AURRERA,BODEGA AURRERA SUCURSAL CANTIL,"AZTECAS 221, ENTRE EJE 10 Y REY MOCTEZUMA",LOS REYES,4330,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-21,HIPERMERCADO SORIANA,SORIANA SUCURSAL CANTIL (419),"AZTECAS 270, ESQ. REY MOCTEZUMA",LOS REYES,4330,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,69.9,2026-05-21,LA COMER,LACOMER SUCURSAL SANTA MARIA LA RIBERA,"NOGAL 212, ESQ. CARPIO",SANTA MARIA LA RIBERA,6400,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.0,2026-05-21,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL ASTURIAS,"CALZ. CHABACANO 43, ESQ. JOSE ANTONIO TORRES",ASTURIAS,6850,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-21,WAL-MART,WALMART SUCURSAL PORTAL CENTRO,"AV. LORENZO BOTURINI 258, ENTRE FRANCISCO JAVIER CLAVIJ",TRANSITO,6820,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-21,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LA VIGA,CALZ. DE LA VIGA 136 ESQ. DEL TALLER,LORENZO BOTURINI,15820,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,50.0,2026-05-21,MERCADO PUBLICO,MERCADO ROMERO RUBIO,"CAIRO S/N, ESQ. PERSIA",ROMERO RUBIO,15400,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-21,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL CUITLAHUAC (253),"CUITLAHUAC 372, ENTRE PANTACO Y RABAI",JARDÍN AZPETIA,2530,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-25,WAL-MART,WALMART SUCURSAL TLALPAN,CALZ. DE TLALPAN 1037,NATIVITAS,3500,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-25,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL RIO CHURUBUSCO,"AJUSCO 126, ENTRE LAZARO CARDENAS Y RIO CHURUBUSCO",PORTALES,3300,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-25,WAL-MART,WALMART SUCURSAL UNIVERSIDAD,"UNIVERSIDAD 936, ESQ. PARROQUIA",SANTA CRUZ ATOYAC,3310,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.9,2026-05-25,SORIANA SUPER,SORIANA SUPER SUCURSAL EUGENIA (279),"EUGENIA 901, ESQ. GABRIEL MANCERA",DEL VALLE,3100,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-26,WAL-MART,WALMART SUCURSAL LOMAS,BLVD. MANUEL AVILA CAMACHO 491,PERIODISTAS,11220,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-26,BODEGA AURRERA,BODEGA AURRERA SUCURSAL MARIANO ESCOBEDO,"LAGO COMO 160, ESQ. MARIANO ESCOBEDO",ANAHUAC,11320,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-05-26,MEGA SORIANA,MEGA SORIANA SUCURSAL TACUBA,"CALZ. MEXICO-TACUBA  911, ENTRE LAGO ESCLAVOS Y CDA. LA",HUICHAPAN,11410,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-26,BODEGA AURRERA,BODEGA AURRERA SUCURSAL VILLA COAPA,CANAL DE MIRAMONTES 7620,SANTA CRUZ ACAYUCAN,14390,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-26,WAL-MART,WALMART SUCURSAL VILLA COAPA,"ACOXPA 744, ESQ. MIRAMONTES",SAN BARTOLO COAPA,14390,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.9,2026-05-26,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIYANA (252),"EJERCITO NACIONAL 769, ESQ. MOLIERE",POLANCO,11529,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-27,WAL-MART,WAL MART SUCURSAL MIRAMONTES,"ESCUELA NAVAL MILITAR 753, ESQ. CANAL DE MIRAMONTES",LOS CIPRESES,4830,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-27,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL GIRASOLES,"RANCHO SAN LORENZO 6, ESQ. CALZADA DE LAS BOMBAS (INT.",GIRASOLES III,4920,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-27,BODEGA AURRERA,BODEGA AURRERA SUCURSAL IZTAPALAPA,"CALZ. ERMITA IZTAPALAPA 875, ENTRE TLAHUAC Y DIAGONA",SANTA ISABEL INDUSTRIAL,9820,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,34.5,2026-05-27,CHEDRAUI,CHEDRAUI SUCURSAL PLAZA AMERICA,"BENITO JUAREZ 117, ENTRE DIVISION DEL NORTE Y EUCALIPTO",EXHACIENDA DE COAPA,4850,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,39.8,2026-05-27,MEGA SORIANA,MEGA SORIANA SUCURSAL COAPA,"PROLONGACION DIVISION DEL NORTE1555, ENTRE ESCUELA Y EJ",CHIMAL,14700,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-05-27,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL COAPA (TEC),"CALLE PUENTE 186, ESQ. PROLONGACIÓN",AMSA,14380,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-05-27,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL TACUBAYA (257),"GOBERNADOR GENERAL JOSE MORAN 3, ENTRE GOBERNADOR VICEN",SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-27,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,"AV. RIO CHURUBUSCO 583, ESQ. LA VIGA",SECTOR POPULAR,9060,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-27,WAL-MART,WALMART SUCURSAL PLAZA ORIENTE,"CANAL DE TEZONTLE 1520, ESQ EJE 5 OTE. ROJO GOMEZ",U.H. CUCHILLA DEL MORAL II,9319,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,48.0,2026-05-27,CENTRAL DE ABASTOS,CENTRAL DE ABASTO IZTAPALAPA (IZTAPALAPA),"PROL. EJE 6 SUR 520, ESQ. CANAL DE APATLACO",EJIDOS DEL MORAL,9030,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-27,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LOS ANGELES,"CALZ. ERMITA IZTAPALAPA 2001, ESQ. MARGARITAS",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-05-27,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL IZTAPALAPA (262),"ERMITA IZTAPALAPA 1863, ESQ. SAN LORENZO",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-05-28,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL CONSULADO (418),"RIO CONSULADO 2355, ESQ. CARLOS MARX",SIMON BOLIVAR,15410,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-28,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LA VIGA,CALZ. DE LA VIGA 136 ESQ. DEL TALLER,LORENZO BOTURINI,15820,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,54.9,2026-05-28,CHEDRAUI,CHEDRAUI SUCURSAL ANFORA,"ANFORA 71, ESQ. EJE 1 NORTE",MADERO,15320,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,54.9,2026-05-28,MERCADO SORIANA,MERCADO SORIANA SUCURSAL AZCAPOTZALCO,"AZCAPOTZALCO NO. 527, CALLE LIBERTAD Y 16 DE SEPTIEMBRE",AZCAPOTZALCO,2000,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-28,BODEGA AURRERA EXPRESS,BODEGA AURRERA EXPRESS SUCURSAL AZCAPOTZALCO,AHUACATITLA 11,AZCAPOTZALCO CENTRO,2000,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-28,WAL-MART,WALMART SUCURSAL NEXTENGO,"NEXTENGO 78, ENTRE FERROCARRILES NACIONALES Y SANTA CRU",SANTA CRUZ ACAYUCAN,2770,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-05-28,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL CUITLAHUAC (253),"CUITLAHUAC 372, ENTRE PANTACO Y RABAI",JARDÍN AZPETIA,2530,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,79.9,2026-05-28,LA COMER,LACOMER SUCURSAL MIGUEL ANGEL DE QUEVEDO,"MIGUEL ANGEL DE QUEVEDO 443, ENTRE MELCHOR OCAMPO Y PSI",ROMERO DE TERREROS,4310,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-28,BODEGA AURRERA,BODEGA AURRERA SUCURSAL CANTIL,"AZTECAS 221, ENTRE EJE 10 Y REY MOCTEZUMA",LOS REYES,4330,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,79.9,2026-05-28,LA COMER,LACOMER SUCURSAL SANTA MARIA LA RIBERA,"NOGAL 212, ESQ. CARPIO",SANTA MARIA LA RIBERA,6400,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-06-01,BODEGA AURRERA,BODEGA AURRERA SUCURSAL TACUBAYA,PARQUE LIRA 145,TACUBAYA,11870,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,70.0,2026-06-01,MERCADO PUBLICO,MERCADO INDEPENDENCIA,"INDEPENDENCIA 113, ENTRE ANGEL URRAZA Y ZEMPOALA",INDEPENDENCIA,3630,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,89.9,2026-06-01,SUMESA,SUMESA SUCURSAL OAXACA,"OAXACA 120, ESQ. SALAMANCA",ROMA,6700,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-06-01,BODEGA AURRERA,BODEGA AURRERA SUCURSAL TACUBAYA,"PARQUE LIRA 145, ESQ. JALISCO",TACUBAYA,11870,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,60.0,2026-06-01,MERCADO PUBLICO,MERCADO CARTAGENA,"CALLE ARQUITECTO LUIS RUIZ NO. 175, ENTRE ARQUITECTO CA",TACUBAYA,11870,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-06-01,WAL-MART,WALMART SUCURSAL TLALPAN,CALZ. DE TLALPAN 1037,NATIVITAS,3500,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-06-01,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL VIRREYES,"AGUILAR Y SEIJAS 123, ESQ. ACUEDUCTO RIO HONDO",MOLINO DEL REY,11040,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-06-01,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL MICHOACAN,"MICHOACAN 38, ENTRE AMSTERDAM Y AV. MEXICO",HIPODROMO CONDESA,6170,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-06-01,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL DEL VALLE,"HERIBERTO FRIAS 1107, ESQ. ÁNGEL URRAZA",DEL VALLE,3100,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-06-01,WAL-MART EXPRESS,WALMART EXPRES SUCURSAL PACHUCA,"PACHUCA NO 99, ENTRE FERNANDO MONTES DE OCA Y JUAN ESCU",CONDESA,6140,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-06-01,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL RIO CHURUBUSCO,"AJUSCO 126, ENTRE LAZARO CARDENAS Y RIO CHURUBUSCO",PORTALES,3300,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-06-01,WAL-MART,WALMART SUCURSAL UNIVERSIDAD,"UNIVERSIDAD 936, ESQ. PARROQUIA",SANTA CRUZ ATOYAC,3310,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-06-02,WAL-MART,WALMART SUCURSAL LOMAS,BLVD. MANUEL AVILA CAMACHO 491,PERIODISTAS,11220,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,63.5,2026-06-02,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIYANA (252),"EJERCITO NACIONAL 769, ESQ. MOLIERE",POLANCO,11529,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-06-02,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL PERIFERICO,"CALZ. DE TLALPAN NO. 4467, ENTRE PERIFERICO SUR Y HUIPU",TORIELLO GUERRA,14050,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-06-02,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL TACUBAYA (257),"GOBERNADOR GENERAL JOSE MORAN 3, ENTRE GOBERNADOR VICEN",SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,49.0,2026-06-02,BODEGA AURRERA,BODEGA AURRERA SUCURSAL XOCHIMILCO,"PROL. DIV. DEL NORTE 5333, CASI ESQ. GUADALUPE I",POTRERO  SAN BERNARDINO,16030,Xochimilco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-06-02,SORIANA SUPER,SORIANA SUPER SUCURSAL TORIELLO (284),CALZADA DE TLALPAN 4515,TORIELLO GUERRA,14050,Tlalpan,Ciudad de México
