producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA SUCURSAL IZTAPALAPA,"CALZ. ERMITA IZTAPALAPA 875, ENTRE TLAHUAC Y DIAGONA",SANTA ISABEL INDUSTRIAL,09820,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA SUCURSAL IZTAPALAPA,"CALZ. ERMITA IZTAPALAPA 875, ENTRE TLAHUAC Y DIAGONA",SANTA ISABEL INDUSTRIAL,09820,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL TIJUANA HIPODROMO,"AGUACALIENTE, ESQ. PASEO DE LAS AMERICAS 11999",HIPODROMO,22024,Tijuana,Baja California
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL TIJUANA HIPODROMO,"AGUACALIENTE, ESQ. PASEO DE LAS AMERICAS 11999",HIPODROMO,22024,Tijuana,Baja California
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MERCADO SORIANA,MERCADO SORIANA SUCURSAL LOPEZ PORTILLO,"LOPEZ PORTILLO 90, CASI ESQ. HERMENEGILDO GALEANA",BUENAVISTA,54944,Tultitlán,Estado de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MERCADO SORIANA,MERCADO SORIANA SUCURSAL LOPEZ PORTILLO,"LOPEZ PORTILLO 90, CASI ESQ. HERMENEGILDO GALEANA",BUENAVISTA,54944,Tultitlán,Estado de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,SORIANA SUPER,SORIANA SÚPER  SUCURSAL CANCÚN GLORIETA,"AV. TULUM  MZ-01, LT- 37, 38 Y 39, ESQ.  GLORIETA UXMAL",S.M. 2,77500,Benito Juárez,Quintana Roo
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,SORIANA SUPER,SORIANA SÚPER  SUCURSAL CANCÚN GLORIETA,"AV. TULUM  MZ-01, LT- 37, 38 Y 39, ESQ.  GLORIETA UXMAL",S.M. 2,77500,Benito Juárez,Quintana Roo
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIXCOAC (250),"MIGUEL ANGEL BUONARROTI 170, ESQ. SAN ANTONIO",MIXCOAC,03910,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIXCOAC (250),"MIGUEL ANGEL BUONARROTI 170, ESQ. SAN ANTONIO",MIXCOAC,03910,Benito Juárez,Ciudad de México
